account_index,credit_risk_score,customer_age,income,velocity_6h
798786,158.0,40.0,0.8,1980.787
798789,114.0,20.0,0.8,2530.4514
798815,149.0,40.0,0.9,3570.1238
798874,73.0,20.0,0.9,5669.5264
798876,79.0,30.0,0.4,9441.18
798885,239.0,50.0,0.9,2074.4563
798890,105.0,20.0,0.2,5290.246
798902,151.0,60.0,0.9,3101.3525
798922,72.0,30.0,0.9,1460.7435
798940,76.0,20.0,0.1,3431.9934
798943,139.0,30.0,0.1,5617.355
798952,75.0,20.0,0.1,7224.3887
798964,138.0,20.0,0.2,337.3746
798971,275.0,60.0,0.4,756.2094
798986,129.0,20.0,0.5,4253.033
799020,120.0,70.0,0.2,4285.9395
799021,97.0,40.0,0.9,2746.402
799039,116.0,60.0,0.9,4478.4185
799071,133.0,20.0,0.5,3174.4463
799113,117.0,50.0,0.9,3521.6677
799178,67.0,20.0,0.6,6654.1445
799179,162.0,70.0,0.1,1119.9333
799221,204.0,30.0,0.9,5999.3286
799259,100.0,50.0,0.6,6163.4478
799287,81.0,30.0,0.4,8875.93
799369,127.0,40.0,0.8,2580.7854
799388,223.0,40.0,0.8,796.8981
799392,90.0,20.0,0.7,1140.6265
799450,230.0,20.0,0.4,701.6481
799457,149.0,40.0,0.9,3652.218
799549,133.0,60.0,0.9,1459.293
799557,240.0,30.0,0.4,1137.3844
799593,80.0,40.0,0.6,5731.844
799595,79.0,30.0,0.1,4994.7993
799602,164.0,70.0,0.1,763.75024
799609,149.0,20.0,0.8,1279.7446
799611,181.0,30.0,0.6,1373.0221
799723,115.0,30.0,0.1,5253.4175
799728,157.0,20.0,0.9,4538.8325
799741,159.0,40.0,0.9,4302.2573
799756,203.0,30.0,0.8,2954.2686
799759,152.0,60.0,0.7,5772.0166
799819,208.0,40.0,0.9,5811.869
799844,139.0,30.0,0.7,2982.7378
799848,219.0,20.0,0.5,1135.5376
799863,129.0,20.0,0.1,2644.6985
799889,174.0,20.0,0.7,2509.3372
799893,69.0,20.0,0.6,4139.9453
799900,194.0,50.0,0.9,3378.6248
799968,181.0,30.0,0.6,3865.9287
799991,77.0,20.0,0.1,646.61926
800011,102.0,30.0,0.2,4805.131
800017,96.0,20.0,0.5,4685.141
800033,104.0,40.0,0.5,13967.49
800036,151.0,30.0,0.9,1090.0907
800047,185.0,30.0,0.9,815.5903
800060,76.0,50.0,0.8,6304.134
800104,130.0,40.0,0.9,3118.2786
800120,119.0,20.0,0.9,1547.4247
800122,105.0,40.0,0.2,2582.2554
800162,210.0,60.0,0.5,1760.4716
800212,223.0,50.0,0.9,3003.7358
800233,116.0,30.0,0.1,8760.6
800243,67.0,30.0,0.9,5466.9175
800313,106.0,50.0,0.7,6112.073
800347,236.0,30.0,0.8,2962.6594
800383,130.0,30.0,0.8,768.24567
800421,104.0,20.0,0.4,2916.0432
800515,86.0,30.0,0.5,2657.8354
800537,221.0,30.0,0.2,2112.9658
800577,173.0,40.0,0.8,2948.585
800584,93.0,30.0,0.4,4098.4683
800616,112.0,20.0,0.9,4192.066
800626,201.0,20.0,0.1,4543.322
800682,156.0,40.0,0.6,548.50073
800703,109.0,20.0,0.9,2204.36
800716,176.0,20.0,0.1,1341.1792
800726,106.0,20.0,0.9,4861.2847
800747,144.0,30.0,0.1,4449.3135
800748,148.0,50.0,0.8,3834.3428
800788,242.0,40.0,0.5,2781.6035
800807,93.0,40.0,0.8,6035.668
800846,153.0,20.0,0.7,1933.875
800847,76.0,30.0,0.8,7608.405
800855,269.0,50.0,0.9,3957.0068
800860,163.0,40.0,0.7,7266.7017
800924,234.0,20.0,0.7,4063.6448
800949,125.0,40.0,0.9,4262.2124
800969,239.0,40.0,0.8,1407.1172
800978,225.0,50.0,0.4,1534.747
800980,213.0,50.0,0.8,9001.69
801014,170.0,20.0,0.8,6120.436
801018,109.0,40.0,0.4,2568.7166
801043,238.0,40.0,0.6,5719.948
801047,191.0,30.0,0.1,3922.7988
801048,170.0,40.0,0.1,3939.9043
801064,147.0,70.0,0.9,3534.7302
801079,126.0,30.0,0.4,3241.6018
801087,164.0,50.0,0.3,3621.6401
801090,45.0,20.0,0.8,3100.2546
801125,242.0,50.0,0.8,2482.8372
801161,308.0,40.0,0.9,6103.586
801202,124.0,30.0,0.3,1839.9485
801223,72.0,50.0,0.4,637.4057
801241,-82.0,20.0,0.9,4421.8447
801301,205.0,30.0,0.5,1237.9802
801321,86.0,50.0,0.8,7814.4473
801334,123.0,30.0,0.9,6467.1343
801336,255.0,40.0,0.4,1966.0818
801338,259.0,40.0,0.9,2397.9668
801359,104.0,30.0,0.6,4472.906
801371,162.0,30.0,0.7,4990.3833
801382,109.0,30.0,0.4,6070.981
801440,168.0,40.0,0.9,2576.144
801458,85.0,30.0,0.9,2146.6365
801514,216.0,40.0,0.8,4186.1904
801526,142.0,30.0,0.9,4193.254
801529,187.0,60.0,0.7,2185.3875
801584,237.0,30.0,0.4,5739.4487
801586,119.0,20.0,0.9,1714.0225
801651,208.0,40.0,0.8,3555.7605
801671,115.0,20.0,0.7,4775.7124
801673,196.0,30.0,0.8,3943.9106
801689,169.0,30.0,0.9,3646.9536
801694,189.0,30.0,0.9,6516.8604
801718,140.0,40.0,0.8,4096.4727
801793,73.0,20.0,0.6,2763.3215
801882,79.0,20.0,0.3,6024.7437
801920,73.0,30.0,0.5,3873.2642
801924,220.0,20.0,0.8,1581.2423
801969,146.0,20.0,0.9,3471.8176
801985,138.0,20.0,0.9,10151.442
801988,-78.0,30.0,0.1,7641.779
802043,192.0,20.0,0.6,4417.5254
802066,95.0,40.0,0.4,2609.667
802081,134.0,30.0,0.9,4989.9517
802126,110.0,60.0,0.1,1421.1836
802132,223.0,50.0,0.8,6693.801
802169,100.0,20.0,0.8,3905.5024
802240,93.0,20.0,0.8,3909.8884
802244,105.0,60.0,0.2,4369.838
802266,118.0,30.0,0.3,1222.1705
802283,96.0,20.0,0.4,4776.4683
802286,162.0,30.0,0.9,1625.1957
802312,199.0,30.0,0.4,2978.541
802318,69.0,30.0,0.4,4742.1753
802337,160.0,20.0,0.8,1473.9993
802351,150.0,20.0,0.4,7570.0493
802387,77.0,30.0,0.3,3721.059
802431,175.0,40.0,0.7,4934.1265
802460,230.0,20.0,0.8,5002.907
802475,216.0,30.0,0.8,3594.6233
802486,171.0,40.0,0.7,3657.346
802513,260.0,30.0,0.9,1257.8906
802527,85.0,30.0,0.9,906.69385
802543,124.0,30.0,0.5,2779.6318
802573,271.0,50.0,0.4,5608.1987
802589,83.0,50.0,0.2,3363.8582
802594,92.0,30.0,0.8,3803.2666
802597,184.0,20.0,0.9,4467.4653
802603,241.0,30.0,0.7,9989.971
802616,299.0,40.0,0.7,3961.6814
802643,260.0,20.0,0.1,8003.7593
802674,4.0,50.0,0.8,1202.9655
802687,119.0,20.0,0.5,5534.159
802707,65.0,50.0,0.1,4750.023
802711,122.0,30.0,0.7,5257.7183
802770,169.0,40.0,0.6,3016.826
802775,163.0,30.0,0.8,9986.513
802790,114.0,50.0,0.7,5759.1973
802804,77.0,40.0,0.6,1089.6105
802805,204.0,50.0,0.1,3918.5557
802807,193.0,40.0,0.9,4470.503
802809,181.0,30.0,0.8,4441.866
802821,269.0,30.0,0.4,1613.834
802840,157.0,40.0,0.9,861.4242
802873,140.0,30.0,0.1,4875.7114
802899,215.0,50.0,0.9,4424.2607
802905,98.0,40.0,0.9,1988.819
802911,162.0,30.0,0.8,6464.722
802912,141.0,60.0,0.9,7218.083
802939,116.0,20.0,0.9,6352.6255
802949,175.0,30.0,0.5,5403.5903
802951,218.0,50.0,0.9,2966.8652
802999,105.0,20.0,0.7,5322.513
803008,236.0,50.0,0.9,3949.6206
803034,186.0,30.0,0.5,4637.871
803041,307.0,20.0,0.8,4264.4956
803066,96.0,30.0,0.8,6050.6895
803094,152.0,20.0,0.5,5880.2695
803102,59.0,40.0,0.9,4804.9385
803103,98.0,40.0,0.1,6090.9497
803158,89.0,60.0,0.8,9405.036
803160,104.0,40.0,0.5,9143.911
803197,132.0,20.0,0.1,3228.9285
803251,75.0,30.0,0.9,3962.8208
803255,73.0,20.0,0.1,1209.6123
803259,98.0,20.0,0.6,7341.246
803266,104.0,50.0,0.6,4524.0996
803271,77.0,30.0,0.6,361.39554
803280,166.0,30.0,0.3,4122.367
803284,174.0,30.0,0.9,1483.2535
803314,194.0,20.0,0.9,2322.0852
803334,119.0,40.0,0.6,11911.485
803342,115.0,30.0,0.9,3728.5623
803372,81.0,30.0,0.4,1510.3771
803394,128.0,20.0,0.6,1757.1
803404,148.0,40.0,0.7,1244.5087
803468,212.0,10.0,0.7,9883.164
803481,111.0,40.0,0.9,3244.283
803498,147.0,30.0,0.8,996.1451
803540,136.0,40.0,0.1,3793.7166
803555,279.0,50.0,0.6,4827.479
803569,211.0,30.0,0.9,1386.5958
803577,127.0,40.0,0.2,2544.3586
803587,131.0,20.0,0.2,6460.7427
803595,336.0,50.0,0.6,854.8824
803616,84.0,50.0,0.6,1505.6763
803633,116.0,20.0,0.9,2312.8562
803644,100.0,50.0,0.9,2390.8992
803676,109.0,40.0,0.9,4342.4277
803677,62.0,50.0,0.8,6646.1064
803737,289.0,50.0,0.1,8401.9795
803739,111.0,30.0,0.4,4399.1777
803779,94.0,20.0,0.9,3463.8486
803804,149.0,30.0,0.1,2940.779
803827,86.0,20.0,0.1,5798.2886
803845,116.0,40.0,0.8,3796.8867
803849,228.0,10.0,0.7,4034.419
803891,144.0,20.0,0.8,3320.2314
803910,178.0,60.0,0.3,9149.4
803913,117.0,40.0,0.4,308.58957
803920,184.0,50.0,0.3,9762.726
803928,188.0,50.0,0.9,1892.4495
803929,82.0,50.0,0.6,6737.027
803937,75.0,30.0,0.1,4782.568
803957,117.0,40.0,0.4,2608.74
803997,149.0,30.0,0.6,6193.018
804003,259.0,40.0,0.7,3909.0664
804014,97.0,40.0,0.1,1105.0424
804050,144.0,30.0,0.7,8397.71
804097,96.0,30.0,0.6,8589.191
804144,150.0,30.0,0.8,3947.8896
804148,148.0,30.0,0.1,2632.845
804150,109.0,40.0,0.6,3859.1936
804164,157.0,50.0,0.8,1231.0493
804186,168.0,40.0,0.9,8204.338
804242,158.0,30.0,0.1,7545.8237
804301,98.0,30.0,0.8,4132.7417
804303,76.0,40.0,0.9,4523.5596
804319,256.0,50.0,0.8,4984.363
804344,200.0,30.0,0.4,2273.2075
804347,86.0,30.0,0.1,4587.6216
804423,88.0,30.0,0.1,4519.13
804436,80.0,30.0,0.9,1980.9062
804443,121.0,30.0,0.8,6382.4756
804458,112.0,40.0,0.5,3816.3066
804481,31.0,20.0,0.7,2734.6545
804486,124.0,40.0,0.8,6338.312
804509,226.0,30.0,0.9,2248.2412
804544,110.0,20.0,0.9,1081.607
804559,100.0,40.0,0.7,2414.542
804564,159.0,40.0,0.3,7509.1475
804574,117.0,50.0,0.3,3872.4185
804643,156.0,40.0,0.2,7890.215
804644,87.0,20.0,0.5,2172.249
804648,130.0,30.0,0.8,4209.2773
804669,213.0,20.0,0.1,5568.6323
804679,235.0,60.0,0.8,1495.499
804747,87.0,30.0,0.9,2113.779
804749,112.0,40.0,0.4,1511.5544
804751,161.0,50.0,0.7,721.73157
804760,157.0,50.0,0.8,1824.2792
804775,119.0,40.0,0.6,1984.1654
804776,247.0,30.0,0.5,720.52844
804783,212.0,50.0,0.8,13599.578
804822,111.0,40.0,0.7,2369.8599
804837,248.0,40.0,0.1,1557.6849
804890,53.0,20.0,0.8,7651.7153
804893,77.0,20.0,0.7,774.79395
804918,293.0,50.0,0.9,5840.7046
804927,127.0,40.0,0.4,1604.1841
804943,242.0,40.0,0.8,758.07355
804944,112.0,20.0,0.8,6170.4404
804958,120.0,40.0,0.6,2293.529
804977,175.0,50.0,0.8,1623.0647
804978,118.0,40.0,0.9,4251.787
804999,214.0,20.0,0.9,3758.3218
805025,114.0,50.0,0.9,3922.5615
805028,105.0,40.0,0.9,5057.6826
805034,71.0,30.0,0.1,4472.8477
805064,124.0,20.0,0.8,2923.7925
805083,210.0,30.0,0.8,3840.7375
805095,105.0,20.0,0.4,3223.8384
805107,160.0,30.0,0.9,1761.8322
805152,12.0,20.0,0.3,3771.141
805185,147.0,30.0,0.9,2999.4385
805245,116.0,30.0,0.1,7095.8423
805287,93.0,40.0,0.9,2153.7966
805294,93.0,40.0,0.2,2966.4236
805295,111.0,20.0,0.8,5445.356
805297,60.0,60.0,0.6,1114.012
805299,92.0,30.0,0.9,2104.5867
805301,229.0,50.0,0.4,3134.308
805303,216.0,20.0,0.6,3150.0632
805313,83.0,20.0,0.7,2133.016
805315,215.0,30.0,0.5,6536.082
805323,78.0,30.0,0.4,5217.577
805345,215.0,30.0,0.8,1868.796
805354,231.0,30.0,0.8,4646.9116
805372,218.0,30.0,0.1,3187.603
805378,236.0,40.0,0.9,302.26794
805379,236.0,20.0,0.6,9193.567
805387,182.0,40.0,0.9,703.6223
805404,119.0,30.0,0.4,4430.594
805411,166.0,30.0,0.7,8064.0493
805437,252.0,40.0,0.9,1439.2697
805461,80.0,30.0,0.2,3601.6746
805531,226.0,30.0,0.9,2529.0159
805546,202.0,20.0,0.8,3194.5625
805613,274.0,40.0,0.8,7222.5645
805630,25.0,50.0,0.9,7449.321
805642,110.0,40.0,0.7,1051.1366
805648,114.0,40.0,0.9,1814.6738
805695,212.0,30.0,0.9,1062.982
805706,99.0,20.0,0.8,2997.182
805735,128.0,30.0,0.1,6394.4595
805737,190.0,30.0,0.8,3732.9429
805739,162.0,30.0,0.2,3125.9436
805756,218.0,30.0,0.9,1017.1679
805784,235.0,40.0,0.4,4007.5652
805817,173.0,20.0,0.8,1483.9644
805871,175.0,20.0,0.3,7293.528
805877,176.0,30.0,0.4,561.4947
805888,97.0,20.0,0.7,7637.6104
805919,95.0,20.0,0.6,2528.7896
806015,183.0,40.0,0.8,5444.856
806022,195.0,50.0,0.8,656.0412
806024,81.0,20.0,0.1,11522.682
806028,217.0,20.0,0.9,1800.961
806051,133.0,30.0,0.7,5207.7197
806070,93.0,20.0,0.9,2892.859
806085,96.0,30.0,0.7,2811.1018
806111,276.0,50.0,0.9,1679.0896
806118,123.0,40.0,0.4,4287.902
806189,231.0,40.0,0.9,626.1663
806201,83.0,30.0,0.3,4450.3853
806239,129.0,40.0,0.1,4100.9326
806307,192.0,60.0,0.1,5454.4766
806320,87.0,50.0,0.4,4281.451
806337,241.0,30.0,0.7,4370.8535
806348,106.0,40.0,0.9,5266.797
806350,144.0,20.0,0.4,3534.2522
806351,83.0,30.0,0.1,11193.164
806361,175.0,20.0,0.1,6577.081
806406,145.0,30.0,0.8,4299.64
806465,160.0,20.0,0.3,2499.5942
806468,124.0,20.0,0.1,1933.7599
806501,132.0,30.0,0.1,5924.595
806522,151.0,20.0,0.6,2341.7578
806530,233.0,30.0,0.4,4351.35
806551,161.0,30.0,0.2,4872.5713
806561,10.0,50.0,0.6,4622.671
806596,162.0,30.0,0.9,8982.078
806619,170.0,30.0,0.5,2583.7302
806627,120.0,40.0,0.4,6698.362
806639,77.0,40.0,0.5,1881.9125
806650,130.0,20.0,0.1,4414.082
806657,217.0,40.0,0.6,3297.6016
806662,154.0,50.0,0.7,3597.8982
806675,147.0,20.0,0.8,9627.339
806677,90.0,20.0,0.7,3381.6003
806688,110.0,30.0,0.8,4093.8105
806702,121.0,20.0,0.4,6958.414
806722,127.0,30.0,0.9,1499.9766
806747,104.0,30.0,0.9,3471.4915
806766,200.0,30.0,0.8,2757.7097
806829,80.0,20.0,0.4,2073.4607
806838,206.0,30.0,0.7,3584.3625
806847,119.0,40.0,0.9,3766.961
806862,130.0,30.0,0.1,3207.5066
806869,61.0,30.0,0.8,3516.1929
806874,209.0,70.0,0.9,1398.94
806895,181.0,20.0,0.1,3984.678
806921,88.0,20.0,0.2,4449.4546
806925,111.0,20.0,0.9,2883.145
806949,111.0,30.0,0.8,3434.1084
806953,291.0,40.0,0.8,961.6186
806976,161.0,20.0,0.9,5017.858
806996,240.0,60.0,0.9,5681.6113
807024,96.0,40.0,0.7,2645.177
807025,77.0,10.0,0.1,3491.174
807030,233.0,40.0,0.9,1075.6437
807057,198.0,40.0,0.9,4363.1484
807059,161.0,50.0,0.9,2044.0416
807068,188.0,40.0,0.3,1292.249
807069,172.0,40.0,0.7,4858.5474
807114,248.0,30.0,0.9,2104.3562
807131,40.0,40.0,0.9,4825.974
807151,65.0,40.0,0.7,6081.3696
807158,105.0,40.0,0.9,4866.323
807178,187.0,20.0,0.6,1093.1151
807185,191.0,50.0,0.9,5395.112
807206,245.0,30.0,0.7,2037.653
807235,211.0,50.0,0.9,4394.741
807242,68.0,30.0,0.1,2880.7383
807272,133.0,40.0,0.8,1885.7646
807310,108.0,20.0,0.2,5195.5967
807314,86.0,30.0,0.3,3561.1348
807336,125.0,40.0,0.8,3811.6008
807346,191.0,50.0,0.8,5629.1777
807397,236.0,40.0,0.1,3877.9324
807401,70.0,40.0,0.9,2542.696
807428,117.0,20.0,0.3,3331.4902
807468,119.0,30.0,0.9,3258.9062
807471,129.0,20.0,0.6,4412.8643
807498,85.0,40.0,0.8,2730.733
807507,213.0,30.0,0.2,579.26544
807517,101.0,50.0,0.7,5758.1987
807520,98.0,40.0,0.9,1432.2798
807526,282.0,90.0,0.8,1891.4501
807537,126.0,20.0,0.9,5009.014
807551,87.0,40.0,0.1,944.5901
807581,53.0,20.0,0.7,4516.966
807582,137.0,40.0,0.2,4325.491
807604,98.0,50.0,0.9,3129.2751
807610,228.0,30.0,0.9,1777.2731
807689,178.0,30.0,0.8,1559.7712
807780,264.0,60.0,0.9,5859.7593
807783,170.0,20.0,0.8,6856.4146
807803,195.0,50.0,0.8,2313.5513
807808,162.0,20.0,0.4,4993.0566
807813,118.0,30.0,0.1,7391.108
807829,106.0,20.0,0.9,1839.6504
807833,75.0,20.0,0.4,1098.9692
807840,105.0,40.0,0.9,2710.2222
807844,209.0,30.0,0.9,5316.247
807905,274.0,30.0,0.2,3702.0647
807906,59.0,60.0,0.6,3631.8342
807933,105.0,30.0,0.9,5645.883
807939,132.0,20.0,0.9,1568.2925
807953,98.0,20.0,0.8,6053.415
807991,242.0,40.0,0.8,2745.0437
807998,177.0,10.0,0.9,4666.6475
808002,145.0,20.0,0.9,4621.7886
808029,151.0,50.0,0.8,4668.0063
808058,146.0,30.0,0.9,2920.3232
808072,99.0,30.0,0.1,4354.697
808088,41.0,30.0,0.9,4558.402
808119,60.0,40.0,0.8,2813.0974
808120,107.0,20.0,0.3,3539.9077
808231,116.0,20.0,0.1,2119.7297
808235,143.0,20.0,0.9,6271.848
808238,83.0,20.0,0.2,743.4746
808251,225.0,50.0,0.7,5691.0586
808295,120.0,30.0,0.8,3666.28
808313,62.0,20.0,0.1,2082.2852
808316,194.0,40.0,0.9,3395.4836
808372,310.0,30.0,0.8,2996.5942
808384,178.0,20.0,0.4,9672.172
808385,100.0,30.0,0.1,4342.4106
808425,204.0,30.0,0.9,3022.6333
808441,126.0,20.0,0.6,1477.0698
808447,31.0,30.0,0.3,963.716
808457,177.0,50.0,0.8,4840.0474
808468,86.0,30.0,0.8,3276.1177
808470,110.0,20.0,0.5,7712.979
808471,100.0,40.0,0.9,1664.0486
808483,137.0,10.0,0.1,3054.0547
808486,98.0,10.0,0.5,4002.1506
808494,174.0,30.0,0.8,1111.2284
808497,16.0,20.0,0.6,8363.432
808521,196.0,40.0,0.9,3169.7905
808531,154.0,20.0,0.1,2744.8413
808540,202.0,40.0,0.9,3721.0107
808553,189.0,40.0,0.9,1017.9179
808599,204.0,40.0,0.8,3221.9443
808603,126.0,40.0,0.6,4940.03
808644,135.0,50.0,0.8,2374.5676
808645,172.0,40.0,0.9,2389.925
808677,74.0,30.0,0.9,3262.4304
808690,198.0,20.0,0.9,6567.2715
808691,174.0,30.0,0.7,3564.8018
808700,226.0,30.0,0.9,4733.805
808742,93.0,40.0,0.1,11130.792
808771,159.0,40.0,0.9,5463.6885
